Unidad;poco;tipo
L01 QA;;Terreno
L02 QA;;Terreno
L03 QA;;Terreno
L04 QA;;Terreno
L05 QA;;Terreno
L06 QA;;Terreno
L07 QA;NÃO;Residência
L08 QA;;Terreno
L09 QA;;Terreno
L10 QA;;Terreno
L11 QA;;Terreno
L12 QA;;Terreno
L13 QA;;Terreno
L14 QA;;Terreno
L15 QA;NÃO;Residência
L16 QA;;Terreno
L17 QA;;Terreno
L18 QA;;Terreno
L01 QB;;Terreno
L02 QB;;Terreno
L03 QB;;Terreno
L04 QB;;Terreno
L05 QB;;Terreno
L06 QB;;Terreno
L07 QB;;Terreno
L08 QB;SIM;Residência
L09 QB;;Terreno
L10 QB;NÃO;Residência
L11 QB;;Terreno
L12 QB;;Terreno
L13 QB;;Terreno
L14 QB;;Terreno
L15 QB;;Terreno
L16 QB;NÃO;Construção
L17 QB;;Terreno
L18 QB;NÃO;Construção
L19 QB;;Terreno
L01 QC;NÃO;Construção
L02 QC;;Terreno
L03 QC;;Terreno
L04 QC;;Terreno
L05 QC;;Terreno
L06 QC;;Terreno
L07 QC;;Terreno
L08 QC;NÃO;Residência
L09 QC;NÃO;Residência
L10 QC;NÃO;Residência
L11 QC;;Terreno
L12 QC;NÃO;Residência
L13 QC;NÃO;Residência
L14 QC;NÃO;Residência
L15 QC;NÃO;Residência
L16 QC;;Terreno
L17 QC;;Terreno
L18 QC;;Terreno
L19 QC;NÃO;Residência
L01 QD;;Terreno
L02 QD;;Terreno
L03 QD;NÃO;Residência
L04 QD;;Terreno
L05 QD;;Terreno
L06 QD;;Terreno
L07 QD;;Terreno
L08 QD;;Terreno
L09 QD;SIM;Residência
L10 QD;;Terreno
L11 QD;;Terreno
L12 QD;NÃO;Residência
L13 QD;;Terreno
L14 QD;NÃO;Residência
L15 QD;;Terreno
L16 QD;NÃO;Construção
L17 QD;;Terreno
L18 QD;;Terreno
L19 QD;;Terreno
L01 QE;;Terreno
L02 QE;;Terreno
L03 QE;;Terreno
L04 QE;;Terreno
L05 QE;NÃO;Residência
L06 QE;NÃO;Residência
L07 QE;;Terreno
